ASSETS19,ASSORG19,BHC19,BHCFOR19,REAL1419,ORDER,OCC19,SEQINS,CERT19,SID,TAX_ID19,CODE19,LEI,STATER19,NAME19,PLACE19,CODE17,HMPRID,SYD,RSSD19,RSSDP19,RSSDHH19,ORG19,ENTITY19,THC19,CHARTR19,INSURE19,THRIFT19,NCUA19,STATE19,MINBNK19,COUNTY19,TYPE19,NAMEOR19,FOREOR19,NAMES19,FORE19,NAMER19,TAXIDR19,LEIR19,LAR19,CRA19,FHLB19,FHFBID19,PARENT19,OLC19,ASSETL19,PURC19,PURCD19,ORIG19,HIELG19,HIRAT19,ORIGM19,HIELGM19,HIRATM19,ORIGD19,ORIGDM19,APPL19,APPLD19,APPLM19,APPLDM19
276566,75968,1105751, ,27157,178,2477,178,5575, ,75-0641890,1,5493001LCP9RF6ADEZ78,48,FIRST NATIONAL BANK AND TRUST,WEATHERFORD,1,0000002477, ,614368,1105751,1105751,1105751,614368,1105751,200,7,0, ,48,0,367,10,"FIRST BAIRD BANCSHARES, INC.",BHC,FIRST NB,NAT,FIRST NB,75-0641890,0,45,0,9,13007,"FIRST BAIRD BANCSHARES, INC.",0,244245,0,0,37,23,0,0,0,0,20656,0,45,21927,1,300
1171070,1562,1116681, ,271933,184,2515,184,7493, ,23-0559393,1,549300T560RY8NY4EY89,42,THE EPHRATA NATIONAL BANK,EPHRATA,1,0000002515, ,425911,3695957,1116681,1116681,425911,3695957,200,7,0, ,42,0,71,10,HIBSHMAN TRUST FOR EPHRATA NAT,BHC,EPHRATA NB,NAT,EPHRATA NB,23-0559393,549300T56ORY8NY4EY89,1324,0,3,16826,ENB FINANCIAL CORP,0,1097256,0,0,1019,1006,43,29,29,1,170074,4867,1324,224798,45,7203
1170113,139276,1209042, ,211484,194,2725,194,5285, ,39-0159135,1,5493001SSNVCONGBH947,55,THE FIRST NATIONAL BANK AND TR,BELOIT,1,0000002725, ,207845,1209042,1209042,1209042,207845,1209042,200,7,0, ,55,0,105,10,"CENTRE 1 BANCORP, INC.",FHD,FIRST NAT B&TC,NAT,FIRST NAT B&TC,39-0159135,5493001SSNVCONGBH947,967,0,7,10388,"CENTRE 1 BANCORP, INC.",0,1153351,0,0,691,677,31,58,58,8,103365,7308,967,133820,83,9623
5665391,5695664,1064278, ,216598,197,2782,197,4799, ,48-0477525,1,549300IXP5DNWSGY6F96,20,"INTRUST BANK, NATIONAL ASSOCIA",WICHITA,1,0000002782, ,557858,1064278,1064278,1064278,557858,1064278,200,7,0, ,20,0,173,10,INTRUST FINANCIAL CORPORATION,BHC,INTRUST BK NA,NAT,INTRUST BK NA,48-0477525,549300IXP5DNWSGY6F96,1405,0,10,16883,INTRUST FINANCIAL CORPORATION,0,5201340,0,0,1019,891,13,106,106,1,146255,11626,1405,179092,203,18313
529803,64935,1206395, ,56900,210,3105,210,4519, ,42-0253313,1,549300CWJ74FF73VDL12,19,FIRST NATIONAL BANK,WAVERLY,1,0000003105, ,376442,1206395,1206395,1206395,376442,1206395,200,7,0, ,19,0,17,10,FIRST OF WAVERLY CORPORATION,FHD,FIRST NB,NAT,FIRST NB,42-0253313,549300CWJ74FF73VDL12,159,0,8,11913,FIRST OF WAVERLY CORPORATION,0,407461,0,0,139,103,0,7,7,0,16117,249,159,18819,7,249
1035984,198401,1200348, ,146494,213,3124,213,4506, ,42-0943319,1,5493003QPO86QUI9FJ04,19,THE SECURITY NATIONAL BANK OF,SIOUX CITY,1,0000003124, ,418249,1200348,1200348,1200348,418249,1200348,200,7,0, ,19,0,193,10,SECURITY NATIONAL CORPORATION,BHC,SECURITY NB OF SIOUX CITY IA,NAT,SECURITY NB OF SIOUX CITY IA,42-0943319,5493003QPO86QUI9FJ04,456,0,8,11425,SECURITY NATIONAL CORPORATION,0,996232,0,0,285,267,0,16,16,0,37239,1669,456,60198,35,3301
156469,24394,2409755, ,31788,215,3147,215,7590, ,23-0906630,1,254900NSXWCE07HAP496,42,THE NATIONAL BANK OF MALVERN,MALVERN,1,0000003147, ,977616,2409755,2409755,2409755,977616,2409755,200,7,0, ,42,0,29,10,MALVERN BANK CORPORATION,BHC,NATIONAL BK OF MALVERN,NAT,NATIONAL BK OF MALVERN,23-0906630,0,19,0,3,53383,MALVERN BANK CORPORATION,0,146276,0,0,16,4,0,2,0,0,6512,1030,19,7362,3,1180
1339634,198156,1126354, ,255559,224,3393,224,4016, ,46-0189380,1,Q107R4XFOZ6F6K73C488,46,THE FIRST NATIONAL BANK IN SIO,SIOUX FALLS,1,0000003393, ,326858,1126354,1126354,1126354,326858,1126354,200,7,0, ,46,0,99,10,"MINNEHAHA BANSHARES, INC.",FHD,FIRST NB IN SIOUX FALLS,NAT,FIRST NB IN SIOUX FALLS,46-0189380,Q107R4XFOZ6F6K73C488,412,0,8,12075,"MINNEHAHA BANSHARES, INC.",0,1245686,0,0,343,314,0,9,9,0,77463,1497,412,90431,14,2169
2432103,302096,1071191, ,382688,235,3654,235,6540, ,34-0214400,1,549300YNUT7D0FWKU636,39,THE FARMERS NATIONAL BANK OF C,CANFIELD,1,0000003654, ,680813,1071191,1071191,1071191,680813,1071191,200,7,0, ,39,0,99,10,FARMERS NATIONAL BANC CORP.,FHD,FARMERS NB,NAT,FARMERS NB,34-0214400,549300YNUT7D0FWKU636,2328,0,5,13123,FARMERS NATIONAL BANC CORP.,0,2309148,0,0,1728,1678,59,55,54,10,252984,6243,2328,318415,82,8889
2998725,3013501,1133503, ,605577,242,3817,242,6985, ,16-0373410,1,549300RM7ARTTP3T1V93,36,THE CANANDAIGUA NATIONAL BANK,CANANDAIGUA,1,0000003817, ,161602,1133503,1133503,1133503,161602,1133503,200,7,9221, ,36,0,69,10,CANANDAIGUA NATIONAL CORPORATI,FHD,CANANDAIGUA NB&TC,NAT,CANANDAIGUA NB&TC,16-0373410,549300RM7ARTTP3T1V93,1633,0,2,9221,CANANDAIGUA NATIONAL CORPORATI,0,2848430,858,265737386,583,561,0,39,39,0,56966,3337,775,71944,62,5378
531221,60028,4619437, ,168055,255,4076,255,3330, ,74-0775779,1,549300EC7M6N4U9DR727,48,THE FIRST NATIONAL BANK OF MCG,MCGREGOR,1,0000004076, ,895055,4619437,4619437,4619437,895055,4619437,200,7,0, ,48,0,309,10,"MCGREGOR BANCSHARES, INC.",BHC,FIRST NB,NAT,FIRST NB,74-0775779,549300EC7M6N4U9DR727,183,0,9,17347,"MCGREGOR BANCSHARES, INC.",0,410783,0,0,163,121,0,58,58,0,30414,6482,183,33551,65,7188
646005,69686,3059773, ,85288,256,4097,256,3214, ,74-0640690,1,549300Z3IVG2MX9Y3287,48,NATIONAL UNITED,GATESVILLE,1,0000004097, ,322056,3059773,3059773,3059773,322056,3059773,200,7,0, ,48,0,99,10,"NATIONAL UNITED BANCSHARES, IN",BHC,NATIONAL UNITED,NAT,NATIONAL UNITED,74-0640690,549300Z3IVG2MX9Y3287,218,0,9,10765,"NATIONAL UNITED BANCSHARES, IN",0,604026,0,0,135,102,0,39,32,0,26474,4680,218,39892,67,8246
523311,523311,0, ,164242,257,4107,257,2093, ,53-0114960,1,549300YUWQTVWWH3TM22,11,THE NATIONAL CAPITAL BANK OF W,WASHINGTON,1,0000004107, ,791821,0,0,-791821,791821, ,200,7,0, ,11,0,1,10,NATIONAL CAPITAL BK OF WA,NAT,NATIONAL CAPITAL BK OF WA,NAT,NATIONAL CAPITAL BK OF WA, ,0,120,0,4,55408, ,0,466589,0,0,106,84,0,11,11,0,69884,6912,120,78069,14,7829
8228226,8262227,1102312, ,1112027,261,4166,261,3066, ,75-0264200,1,549300IVURCTJ6QVMD67,48,"FIRST FINANCIAL BANK, NATIONAL",ABILENE,1,0000004166, ,470050,1102312,1102312,1102312,470050,1102312,200,7,0, ,48,0,441,10,"FIRST FINANCIAL BANKSHARES, IN",FHD,FIRST FNCL BK NA,NAT,FIRST FNCL BK NA,75-0264200,549300IVURCTJ6QVMD67,5075,0,9,55264,"FIRST FINANCIAL BANKSHARES, IN",0,7703083,1,141624286,3941,3612,479,564,564,94,842245,106095,5074,1072052,781,139561
2632912,383246,1206911, ,218655,279,4596,279,3603, ,36-1577458,1,B94HV8SXGDD3J5XESU08,17,OLD SECOND NATIONAL BANK,AURORA,1,0000004596, ,936136,1206911,1206911,1206911,936136,1206911,200,7,14165, ,17,0,89,10,"OLD SECOND BANCORP, INC.",BHC,OLD SECOND NB,NAT,OLD SECOND NB,36-1577458,B94HV8SXGDD3J5XESU08,1317,0,7,14165,"OLD SECOND BANCORP, INC.",0,2661311,0,0,984,963,35,211,211,12,235235,37737,1317,300487,326,55593
136384,15078,1928437, ,30707,291,4860,291,4739, ,48-0334515,1,875500IRGJS5OZLCNW49,20,THE MIDLAND NATIONAL BANK OF N,NEWTON,1,0000004860, ,576653,1928437,1928437,1928437,576653,1928437,200,7,0, ,20,0,79,10,MIDLAND FINANCIAL CORPORATION,BHC,MIDLAND NB OF NEWTON,NAT,NEWTON MAIN BR, , ,207,0,10,12719,MIDLAND FINANCIAL CORPORATION,0,140480,0,0,178,114,0,15,15,0,20030,1172,207,22987,18,1415
238717,20575,1141478, ,83372,315,5267,315,4318, ,35-0613236,1,2549005LG69OCBT9WE71,18,THE RIDDELL NATIONAL BANK,BRAZIL,1,0000005267, ,319047,1141478,1141478,1141478,319047,1141478,200,7,0, ,18,0,21,10,RNB CORP.,BHC,RIDDELL NB,NAT,RIDDELL NB,35-0613236,2549005LG69OCBT9WE71,301,0,6,10389,RNB CORP.,0,216405,0,0,270,256,0,12,12,0,30583,1430,301,33533,15,1718
197116,26683,1109825, ,73719,317,5275,317,5548, ,74-0560700,1,549300PHUZ7U5WPH7Z38,48,THE CITY NATIONAL BANK OF TAYL,TAYLOR,1,0000005275, ,181963,1109825,1109825,1109825,181963,1109825,200,7,0, ,48,0,491,10,"CNB FINANCIAL CORPORATION, INC",FHD,CITY NB,NAT,CITY NB,74-0560700,0,99,0,9,55912,"CNB FINANCIAL CORPORATION, INC",0,209910,0,0,97,81,0,18,18,0,16626,1789,99,16784,18,1789
1859995,56907,3035227, ,429705,331,5581,331,3276, ,75-0358895,1,5493008R64K2UUN2NP30,48,"AUSTIN BANK, TEXAS NATIONAL AS",JACKSONVILLE,1,0000005581, ,548351,1108350,3035227,3035227,548351,1108350,200,7,0, ,48,0,73,10,JSA FAMILY LIMITED PARTNERSHIP,BHC,AUSTIN BK TX NA,NAT,AUSTIN BK TX NA,75-0358895,5493008R64K2UUN2NP30,1040,0,9,16121,"AUSTIN BANCORP, INC.",0,1792114,0,0,709,624,215,126,126,65,118198,15311,1040,166042,220,25626
135313,15726,1102170, ,21478,339,5674,339,5590, ,75-0665079,1,549300P3IKHVYBR1E510,48,THE FIRST NATIONAL BANK OF WIN,WINNSBORO,1,0000005674, ,501767,1102170,1102170,1102170,501767,1102170,200,7,0, ,48,0,499,10,"ETEX BANCO, INC.",BHC,FIRST NB,NAT,FIRST NB,75-0665079,549300P3IKHVYBR1E510,31,0,9,12096,"ETEX BANCO, INC.",0,137157,0,0,26,25,0,7,7,0,3865,1532,31,4015,7,1532
2179218,263094,1108097, ,249786,342,5750,342,3285, ,74-2681037,1,5493006KQF5UKZ3Y9N07,48,FIRST NATIONAL BANK TEXAS,KILLEEN,1,0000005750, ,613950,1108097,1108097,1108097,613950,1108097,200,7,0, ,48,0,27,10,"FIRST COMMUNITY BANCSHARES, IN",BHC,DBA FIRST CONVENIENCE BK,NAT,DBA FIRST CONVENIENCE BK,74-2681037,5493006KQF5UKZ3Y9N07,1816,0,9,54133,"FIRST COMMUNITY BANCSHARES, IN",0,1874272,2,91899405,957,929,176,522,522,133,219173,88901,1814,314504,1121,136224
343994,124226,4208961, ,73384,343,5753,343,4132, ,73-0185627,1,549300RYQVJMZ3X21K04,40,THE CITY NATIONAL BANK AND TRU,LAWTON,1,0000005753, ,294751,4208961,4208961,4208961,294751,4208961,200,7,0, ,40,0,31,10,"JRMB II, INC",BHC,CITY NB&TC,NAT,CITY NB&TC,73-0185627,549300RYQVJMZ3X21K04,87,0,10,12091,"JRMB II, INC",0,341114,0,0,51,44,0,11,11,0,11992,1337,87,15110,26,2510
116581,11598,1133183, ,17008,348,5842,348,14225, ,35-0389890,1,549300Z0OW7UDR5F5Z46,18,THE HOME NATIONAL BANK OF THOR,THORNTOWN,1,0000005842, ,696645,1133183,1133183,1133183,696645,1133183,200,7,0, ,18,0,11,10,HOME NATIONAL CORPORATION,BHC,HOME NB OF THORNTOWN,NAT,HOME NB OF THORNTOWN,35-0389890,549300Z0OW7UDR5F5Z46,49,0,6,52231,HOME NATIONAL CORPORATION,0,107611,0,0,47,37,0,1,1,0,6825,80,49,7555,2,260
878267,16797,4577984, ,120409,349,5850,349,3325, ,74-0766260,1,549300B3LJV7BU7IY610,48,FIRST NATIONAL BANK OF CENTRAL,WACO,1,0000005850, ,369659,2348274,4577984,4577984,369659,2348274,200,7,0, ,48,0,309,10,2013 MONTE HULSE FAMILY IRREVO,BHC,FIRST NB CENTRAL TX,NAT,FIRST NB CENTRAL TX,74-0766260,0,243,0,9,16320,"FCT BANCSHARES, INC.",0,851721,0,0,226,160,0,23,23,0,31305,1601,243,34375,27,1936
214319,214319,1246364, ,31953,367,6417,367,5249, ,41-0406600,1,254900FKPTR6FQ8IH565,27,MINNESOTA NATIONAL BANK,SAUK CENTRE,1,0000006417, ,799751,1246243,1246364,1246364,799751,1246243,200,7,0, ,27,0,145,10,MINNESOTA NB RETIREMENT SAVING,BHC,MINNESOTA NB,NAT,MINNESOTA NB,41-0406600,254900FKPTR6FQ8IH565,83,0,8,10290,SAUK CENTRE FINANCIAL SERVICES,0,204952,0,0,81,78,0,5,5,0,7570,605,83,7692,6,677
72016,8294,2293909, ,27064,380,6667,380,6649, ,34-0457993,1,54930030NLAV245IKD76,39,THE PEOPLES NATIONAL BANK OF M,MOUNT PLEASANT,1,0000006667, ,484927,2293909,2293909,2293909,484927,2293909,200,7,0, ,39,0,81,10,PEOPLES BANCORP OF MT. PLEASAN,BHC,PEOPLES NB,NAT,MOUNT PLEASANT BR, , ,105,0,5,55757,PEOPLES BANCORP OF MT. PLEASAN,0,75788,0,0,68,53,0,1,1,0,6080,31,105,8462,2,43
285849,26762,2947985, ,82590,382,6707,382,6464, ,21-0445725,1,549300O3C6Y0X1FKZJ98,34,THE FIRST NATIONAL BANK OF ELM,ELMER,1,0000006707, ,609010,2947985,2947985,2947985,609010,2947985,200,7,0, ,34,0,33,10,"ELMER BANCORP, INC.",BHC,FIRST NB OF ELMER,NAT,FIRST NB OF ELMER,21-0445725,0,82,0,2,52005,"ELMER BANCORP, INC.",0,282719,0,0,59,42,0,6,6,0,14532,1179,82,20438,8,1490
69662,69662,0, ,17851,388,6991,388,5141, ,41-0413985,1,254900237R332M8L2724,27,THE MINERS NATIONAL BANK OF EV,EVELETH,1,0000006991, ,43856,0,0,-43856,43856, ,200,7,0, ,27,0,137,10,MINERS NB OF EVELETH,NAT,MINERS NB OF EVELETH,NAT,MINERS NB OF EVELETH, ,0,124,0,8,13578, ,0,67986,0,0,101,101,17,3,3,1,14368,234,124,17203,3,234
183942,21291,1062050, ,41765,393,7115,393,4050, ,73-0160957,1,549300R6P9WVVQOQF705,40,THE FIRST NATIONAL BANK AND TR,BROKEN ARROW,1,0000007115, ,145554,1062050,1062050,1062050,145554,1062050,200,7,0, ,40,0,143,10,FIRST BROKEN ARROW CORPORATION,BHC,FIRST NB&TC OF BROKEN ARROW,NAT,FIRST NB&TC OF BROKEN ARROW,73-0160957,549300R6P9WVVQOQF705,54,0,10,9945,FIRST BROKEN ARROW CORPORATION,0,184539,1,265177736,42,23,0,3,2,0,10737,270,53,14193,5,427
108754,13343,1104567, ,43052,407,7524,407,3098, ,75-0135768,1,549300BFTWW1HFL7JF90,48,"CENDERA BANK, NATIONAL ASSOCIA",BELLS,1,0000007524, ,89957,1104567,1104567,1104567,89957,1104567,200,7,0, ,48,0,181,10,"CENDERA FINANCIAL HOLDINGS, IN",BHC,CENDERA BK NA,NAT,CENDERA BK NA,75-0135768,549300BFTWW1HFL7JF90,54,0,9,54271,"CENDERA FINANCIAL HOLDINGS, IN",0,96920,0,0,43,35,30,3,3,3,12074,521,54,13209,4,821
2564325,3184275,1048812, ,608837,417,7699,417,7074, ,14-0696635,1,549300ERHDU3FCE3FA33,36,GLENS FALLS NATIONAL BANK AND,GLENS FALLS,1,0000007699, ,866000,1048812,1048812,1048812,866000,1048812,200,7,10436, ,36,0,113,10,ARROW FINANCIAL CORPORATION,BHC,GLENS FALLS NB&TC,NAT,GLENS FALLS NB&TC,14-0696635,0,1082,0,2,10436,ARROW FINANCIAL CORPORATION,0,2444624,0,0,683,672,15,21,21,1,109399,3943,1082,159692,42,5896
266626,33140,3491869, ,34503,423,7748,423,3376, ,75-0476265,1,549300L66TXE6HC20R70,48,THE OZONA NATIONAL BANK,OZONA,1,0000007748, ,780263,3491869,3491869,3491869,780263,3491869,200,7,0, ,48,0,105,10,"ONB BANCSHARES, INC.",BHC,OZONA NB,NAT,OZONA NB,75-0476265,0,28,0,9,53729,"ONB BANCSHARES, INC.",0,255317,0,0,21,18,0,4,4,0,6115,2024,28,8970,5,2114
236866,26362,1209275, ,42188,448,0,448,5297, ,39-0335807,3,549300RTMAIJNRX52596,55,FORTE BANK,HARTFORD,1,0000008671, ,742944,1209275,1209275,1209275,742944,1209275,200,7,0, ,55,0,131,10,"FNB HARTFORD BANCORP, INC.",BHC,FORTE BK,NMB,FORTE BK,39-0335807,549300RTMAIJNRX52596,224,0,7,11669,"FNB HARTFORD BANCORP, INC.",0,208464,0,0,189,141,0,4,4,0,68164,1038,224,82747,6,1563
203154,203154,0, ,55733,450,8709,450,6646, ,31-0383745,1,254900Q9V3DYHBRTUH61,39,1ST NATIONAL BANK,LEBANON,1,0000008709, ,480723,0,0,-480723,480723, ,200,7,0, ,39,0,165,10,1ST NB,NAT,1ST NB,NAT,1ST NB, ,0,1147,0,5,8805, ,0,178829,0,0,928,928,138,223,223,2,201244,49518,1147,243812,282,61830
287848,30298,1125357, ,17793,454,0,454,5136, ,41-0235905,3,549300Q6UYO4VXM0VF43,27,THE FIRST NATIONAL BANK OF ELK,ELK RIVER,1,0000008757, ,970055,1125357,1125357,1125357,970055,1125357,200,7,0, ,27,0,141,10,FIRST NATIONAL FINANCIAL SERVI,BHC,FIRST BK ELK RIVER,NMB,FIRST BK ELK RIVER,41-0235905,549300Q6UYO4VXM0VF43,115,0,8,9793,FIRST NATIONAL FINANCIAL SERVI,0,274289,0,0,91,74,0,3,3,0,124600,757,115,128051,3,757
1074320,3174757,2107707, ,107864,458,8796,458,4666, ,48-0124710,1,5493007CLWQN2S6IZK91,29,"ARMED FORCES BANK, NATIONAL AS",KANSAS CITY,1,0000008796, ,983457,1399484,2107707,2107707,983457,2107707,200,7,0, ,20,0,103,10,DICKINSON FINANCIAL CORPORATIO,BHC,ARMED FORCES BK NA,NAT,ARMED FORCES BK NA,48-0124710,5493007CLWQN2S6IZK91,639,0,10,10192,DICKINSON FINANCIAL CORPORATIO,0,1077570,0,0,370,370,0,100,100,0,99983,26547,639,165981,190,47328
1188927,190590,1107522, ,84837,462,8899,462,3210, ,74-0560665,1,5493009ZFRBMAYWB2F82,48,THE MOODY NATIONAL BANK,GALVESTON,1,0000008899, ,253356,1399813,1107522,1107522,253356,1107522,200,7,0, ,48,0,167,10,"MOODY BANCSHARES, INC.",BHC,MOODY NB,NAT,MOODY NB,74-0560665,0,148,0,9,17377,"MOODY BANK HOLDING COMPANY, IN",0,1000208,0,0,86,66,0,24,24,0,37244,4100,148,49303,52,7340
8528848,8562741,1142336, ,1530051,474,9179,474,6653, ,31-1198067,1,549300CEHN5CVC6INV48,39,THE PARK NATIONAL BANK,NEWARK,1,0000009179, ,489623,1142336,1142336,1142336,489623,1142336,200,7,0, ,39,0,89,10,PARK NATIONAL CORPORATION,FHD,PARK NB,NAT,PARK NB,31-1198067,0,7221,0,5,11091,PARK NATIONAL CORPORATION,0,7753848,6,109222656,5293,4956,239,133,132,8,754737,21036,7215,1025613,198,29346
499389,45492,2534406, ,67574,476,9295,476,6811, ,54-0211100,1,5493007WCJ9R6VLLYR82,51,FIRST NATIONAL BANK,ALTAVISTA,1,0000009295, ,979629,2534406,2534406,2534406,979629,2534406,200,7,13958, ,51,0,31,10,PINNACLE BANKSHARES CORPORATIO,BHC,FIRST NB,NAT,FIRST NB,54-0211100,5493007WCJ9R6VLLYR82,135,0,4,13958,PINNACLE BANKSHARES CORPORATIO,0,469498,0,0,117,84,0,13,13,0,11487,1600,135,12739,19,1974
2464860,2478550,1076691, ,326342,480,9343,480,6837, ,54-0121975,1,549300HGXROE7ZUGMP55,51,AMERICAN NATIONAL BANK AND TRU,DANVILLE,1,0000009343, ,958727,1076691,1076691,1076691,958727,1076691,200,7,11656, ,51,0,590,10,AMERICAN NATIONAL BANKSHARES I,BHC,AMERICAN NB&TC,NAT,AMERICAN NB&TC,54-0121975,549300HGXROE7ZUGMP55,1009,0,4,11656,AMERICAN NATIONAL BANKSHARES I,0,1853057,0,0,812,599,6,40,38,0,211456,6140,1009,245215,65,9384
4921297,4921471,1416523, ,505336,491,0,491,6976, ,11-2934194,2,549300UWA74T8PF7KY34,36,BNB BANK,BRIDGEHAMPTON,1,0000009669, ,23504,1416523,1416523,1416523,23504,1416523,200,7,9545, ,36,0,103,10,"BRIDGE BANCORP, INC.",BHC,BNB BK,SMB,BNB BK,11-2934194,549300UWA74T8PF7KY34,168,0,2,9545,"BRIDGE BANCORP, INC.",0,4699432,5,268966139,137,76,0,7,7,0,273239,3920,163,291136,10,5842
